id;produkt;kcal;bialko;weglowodany;tluszcze
5690;Pasztet z kaszy jaglanej;151;10;10;8
5691;Maka z ciecierzycy;387;22.4;57.8;6.7
5692;Paluszki natures - Lubella;349;9.5;64;5.4
5693;Przecier pomidorowy na zupe domowy;22;1.3;5.3;0.4
5694;Pasztet z cukinii;140;6;6;11
5695;Kotlet Wolowina smazona (85% chude mieso. 15% tluszcz);250;26;0;15
5696;Mieszanka warzywna wloska - Hortex;25;1.8;2.9;0.5
5697;Kakao naturalne (proszek) - Biedronka;303;23.5;13;10.5
5698;Chleb Ksiazecy (pszenno - zytni);281;10.6;45;6.6
5699;Pieczywo chrupkie glutenfri - Wasa;381;5.5;72;6.5
5700;Pstrag teczowy (filet) - Biedronka;120;19.7;0.5;4.5
5701;Baton jablko i cynamon - Dobra Kaloria;332;4.5;65;4.8
5702;Pastrami wolowe;95;19.6;1.5;1.2
5703;Salatka z kapusta pekinska;35;2;5;1
5704;Wafelek teatralny - Kopernik;528;9;55;29
5705;Galareta z nozek;95;9;0.5;6.5
5706;Orzechy laskowe - Siesta;654;15;7;61
5707;Kasza Bulgur Mija (ugotowana);109;3.8;20.9;0.5
5708;kielbasa sucha z szynki Pikok;174;26.2;0.5;7.7
5709;Ser Maasdamer;334;25;0;26
5710;Baton BA! 5 bakalii - Bakalland;384;3;76;7
5711;Napoj blonnikowy bez cukru - Herbalife;88;2.9;10.4;3.8
5712;Wafle ryzowe pelnoziarniste - Kupiec;379;8;73;4
5713;Sernik jogurtowy;143;5.6;20;4.2
5714;Krem z kalafiora;46;3;4;2
5715;Napoj Mango lassi;76;2;11;3
5716;Lody sorbetowe mango marakuja - Sorbettino z Biedronki;98;0;23;0
5717;Pylek pszczeli;262;20.1;36.1;4
5718;Szprotki pikantne w oleju;225;21;0;16
5719;Pasztet warzywny z cieciorka - Primavika;145;4.5;20;5.2
5720;Ser Emmentaler w plastrach (swiatowid) - Biedronka;351;27;0;27
5721;Chleb Baltazar - Rafapol;210;6.9;42.6;1.9
5722;Szynka gotowana - Sokolow;89;18;3;1
5723;Wafle ryzowe w czekoladzie mlecznej - Sonko;460;7.8;67.1;17.3
5724;Cukinia faszerowana wege;53;4;7;1
5725;Kakao 10-12% tluszczu (proszek) - Baroque;312;26.3;24.3;11.1
5726;Fasola czarna konserwowa - Dawtona;114;6.2;16.7;0.8
5727;Warzywa na patelnie z kasza Kuskus;168;4.1;34;0.7
5728;Popcorn solony (z mikrofali);428;8.1;48;21
5729;Zupa grzybowa - Mrozna Kraina;28;1;2.7;1.8
5730;Borowik swiezy;35;3.6;4;0.5
5731;Czekoladki Golden Nut;576;6;50.2;39
5732;Ser topiony tlusty;342;5.9;4.1;34.2
5733;Baton czekoladowy;518;6.5;64.6;26
5734;Pierogi Ravioli z miesem;157;5.6;22.2;4.3
5735;Pyza ziemniaczana z miesem;149;4.9;27.9;2.9
5736;Rozek francuski z jablkiem;382;5.6;44.8;23
5737;Serek krem kanapkowy czosnkowy - Hochland;240;7.8;4.2;21
5738;Granola - Sante;440;9.4;63.9;16.3
5739;Bulka do opiekania;254;8.7;50;1.7
5740;Wafel Goralki kokosowe;567;7;52;37
5741;Sok wielowarzywny - Tymbark;26;0.9;4.7;0.2
5742;ciastko z dynia;518;12;47.4;31.2
5743;Fasolka w sosie pomidorowym;109;5.5;18.6;0.5
5744;Zupa farmerska;76;1;12.1;2.6
5745;Budyn waniliowy Slodka Chwila - Dr. Oetker;87;2.8;14.8;1.9
5746;Allnutrition Isolate Protein Banan;364;85;2.8;1.4
5747;Wafle ryzowe o smaku sera - Arroza;418;7;74;9.8
5748;Jogurt Jogobella Kiwi - Zott;100;3.5;14.8;2.6
5749;Focaccia rozmaryn;239;3.5;41;5
5750;Pierogi z kapusta i grzybami Virtu 1000g - Netto;173;4;26;6
5751;Poledwica sopocka Nasze Smaki - Biedronka;98;15;2;4
5752;Kanapka Veggie Patty 15 cm - Subway;160;9;22;4
5753;Gulasz z zoladkow;67;6.2;3.7;2.8
5754;Surowka z marchwi z chrzanem i porem;44;1.6;8.4;1.5
5755;Platki Vitte truskawkowe - Goody;390;8.6;75;4.7
5756;Ser Gouda w plastrach - swiatowid;334;25;0;26
5757;Wafelki Pryncypalki - Dr Gerard;536;6.1;57;31
5758;Polewa czekoladowa;457;1.5;48;28
5759;Tortilla pszenna Lidl;332;9.3;54.2;8
5760;Tunczyk w kawalkach w oleju slonecznikowym;180;23.5;0;9.5
5761;Ptasie mleczko o smaku smietankowym;449;3.4;57;23
5762;Jogurt Bakoma Men naturalny - Bakoma;79;8.4;6.9;2
5763;Makaron (Nudle);364;11.8;75.5;1
5764;Pancake;205;6;25;9
5765;Kefir truskawkowy - Pilos;68;3;11;1.3
5766;Chleb zytni Fitness - zabka;198;5.8;33.6;2.4
5767;Klopsiki w sosie pomidorowym - Pudliszki;107;5.1;10;5
5768;Stek wolowy z antrykotu (smazony);148;26.4;0;4.7
5769;Szyneczka drobiowa - Sokolow;97;18;2.8;1.5
5770;BODY ATTACK - Beef Amino Liquid - 1000ml;301;55;15;0
5771;Pasztet drobiowo-wieprzowy z pomidorami - Tesco;170;9.3;4.2;13
5772;Babeczka krucha z budyniem;240;3.5;32.2;10.5
5773;Musli Crunchy bananowe z czekolada - Sante;457;7.1;68;16
5774;Piers gotowana z indyka - Indykpol;74;13;2.2;1.1
5775;Makaron pelnoziarnisty Gniazda (nieugotowany) - Lubella;340;15;58;3.2
5776;Ser topiony Gouda w plastrach - Hochland;263;17;5.9;19
5777;Rumianek (parzony);1;0;0.2;0
5778;Herbata Mieta;44;3.3;8.4;0.7
5779;Kielbasa krakowska drobiowa - Drobimex;133;22;0;5
5780;JOGURT PITNY BANANOWY VIVA;71;2.9;12.2;0.9
5781;Ryz czarny (ugotowany);174;3.5;36.5;1.5
5782;crostini integrali lidl;407;11;69;8
5783;Wolowina (suszona);275;53;4;5
5784;Kielbasa drobiowa mazowiecka - Pikok;150;18;1.5;7.8
5785;Makaron pastani z pesto;233;6.7;23.4;11.6
5786;Tarta owocowa;286;3;35;14
5787;sledzik na raz z ogorkiem i czosnkiem;307;8.5;5.2;28
5788;Deser Satino karmelowy- Bakoma;138;2.5;17.2;6.6
5789;Kefir 0% owoce lesne;54;3.3;9;0.1
5790;Chleb Warminski - Oskroba;268;7.9;41;6.9
5791;Deser Satino gold kawowy - Bakoma;138;2.5;17.1;6.5
5792;Lody Algida smietankowa bakalia;179;3.4;24;7.8
5793;Platki sniadaniowe Special yoghurt & cherry - Fitella;423;12.6;78.4;5.3
5794;Platki sojowe blyskawiczne;356;50;30;2
5795;Platki pelnoziarniste z pysznymi truskawkami i platkami w polewie jogurtowej - Bakalland;341;6.5;72.2;2.2
5796;Wedlina Bresaola - Primavera;163;33.5;0.5;3
5797;Ciasto Ambasador;297;3.4;25.1;20.2
5798;Rum Malibu;231;0;0;0
5799;Mentos Chocko;411;2.8;79;8.8
5800;Ciasteczka zbozowe kakaowe - Kupiec;442;9.3;60.1;18.3
5801;Pastella srodziemnomorska z twarozkiem i mozarella - Lisner;422;6;5;42
5802;Kaszka z mlekiem waniliowa Mleczny Start - Biedronka;396;13;71;7
5803;Sok Multiwitamina zielona;41;0.1;10;0
5804;Sum pieczony;152;19;0;8
5805;Zupa pomidorowa lagodna (po przyrzadzeniu) - Knorr;34;1.2;6.4;0.5
5806;Jogurt 7 zboz z brzoskwiniami i ziarnami zboz - Bakoma;93;2.5;15;2.5
5807;Serek Danio Extra banan straciatella;124;5.6;14.9;4.6
5808;Batonik twarogowy Pokusa - Nickal;337;16.6;27.1;18
5809;Lody Carte D'or Malaga;190;3;25;8
5810;Dzem z agrestu i kiwi niskoslodzony;143;0;35;0
5811;Dzem wisnia bez dodatku cukru - Owocowa Rapsodia;208;0.8;52;0.1
5812;Pieczywo chrupkie Bio lekkie 7 ziaren - Good Food;386;8.2;78.9;2.3
5813;Pieczywo chrupkie lekkie Crisp'n light zytnie - Wasa;370;11;71;2.5
5814;Makaron z zupki chinskiej - Vifon;453;9;65;17
5815;Muffinki cynamonowe z jablkiem;206;4.8;30;7.4
5816;Jogurt owoce lesne - FruVita;91;2.7;14.5;2.5
5817;Kaczka tuszka;316;13.5;0;28.6
5818;Napoj owocowy (nektar);56;0.4;14.4;0.1
5819;Ser podpuszczkowy Brie pelnotlusty;334;20.8;0.5;27.7
5820;Baranina (opiekana na gulasz lub kebab);186;28.1;0;7.3
5821;Masa kajmakowa - Dulce de Leche;315;6.8;55.4;7.4
5822;Serek krem kanapkowy naturalny - Hochland;210;8.9;5;17
5823;Bulka Mamma mia;293;10;38;9.8
5824;Sok owocowo-warzywny. swiezy (marchew. pomarancz. jablko);43;0.5;10;0.2
5825;parowki wieprzowe CALINEO;286;11;2;26
5826;Surowka szwedzka z ogorkiem kiszonym - Sznura;66;1;10;2
5827;Herbata malinowa - Herbapol;4;0;1;0
5828;Golabki z piersi indyka w sosie pomidorowym;186;16.8;28.6;2
5829;Kasza jaglana - Sante;348;10.5;68.4;2.9
5830;Mieszanka warzywna chinska z pedami bambusa;26;1.3;3.4;0.2
5831;serek wiejski z truskawkami Piatnica 150g;110;8.6;10;4
5832;Odzywka whey;334;73;6;4
5833;Blonnik o smaku jablkowym - Kruger;330;2.3;62;1.3
5834;M&M's czekoladowe;478;4.5;70;20
5835;Twarog poltlusty - Krasnystaw;110;16;3.6;3.5
5836;lody solony karmel;135;2.7;22.9;2.8
5837;Musli tropikalne - Fitella;438;8;64.5;15
5838;Topiony krem serowy;303;7;8;27
5839;Ser kozi naturalny;168;8.7;4;14
5840;Babka czekoladowa;363;7.5;48;15.4
5841;Sok mandarynkowy;44;0.5;9.9;0.2
5842;Maka pszenna razowa TYP 2000;332;11;63;2.3
5843;Lody kawowe;293;4;5;29
5844;tagiatelle z kurkami w sosie smietanowym;113;3.9;16.6;3.2
5845;lody twister;95;0.5;23;0.5
5846;Twarozek Grani z oliwka - Piatnica;95;11;2.7;4.5
5847;Fasola Mung (suche ziarno);347;23.9;62;1.2
5848;Baton Fit Bio jablkowy;368;3.9;67.8;7.4
5849;Lody owoce lesne - Grycan;235;3.8;26.3;12.5
5850;7 Days Double coconut;440;7;43;26
5851;Ciasto sliwkowe z kruszonka;363;15.2;40.2;15.6
5852;Sernik bez pieczenia;222;7;28.7;8.8
5853;Pesto Rosso;377;1.7;4.5;38.7
5854;Kopytka Grzeskowiak;174;3.5;37;1
5855;Sos truskawkowy: 200g truskawki. 25g cukier;72;0.4;17.8;0.4
5856;losos na parze;187;22;0;11
5857;Soczewica (ziarno suche);341;25.4;48.6;3
5858;Fix spaghetti Carbonara - Knorr;182;6.3;23;6.6
5859;Ketchup Numer VII - Fanex;147;1.9;34.7;0.1
5860;Jogurt Almighurt kokosowy - Ehrmann;118;3;17;4.2
5861;Slonecznik Sunflower seeds roasted - California;291;9;9;24
5862;Mleczko kokosowe - Uglobe;99;0;14.5;4.5
5863;Zupa krem z bialych warzyw;47;2.4;8.4;0.6
5864;Kasztany jadalne;215;2.7;48.8;1
5865;Kielbasa krakowska sucha - Olewnik;191;27;0.4;9
5866;Salami wedlina sojowa - Polsoja;151;16.8;5.1;6.9
5867;Skrobia ziemniaczana;356;7;83;0.3
5868;Pieczona piers z kurczaka ze szpinakiem i serkiem wiejskim;119;20.5;1.5;3
5869;Cukierek Adwokat - Wawel;487;4.1;60;23
5870;Dzem wisniowy - Owocowa Rapsodia;144;0.5;35;0.5
5871;Lody jogurtowo-truskawkowe MANHATTAN;184;2.5;23;9.1
5872;Kielbasa biala z szynki Henryk Kania;264;16;0;22
5873;Czekolada Studencka Mleczna - Nestle;512;6.9;56.9;27.9
5874;Serek topiony z ziolami - Hochland;238;10;6.8;19
5875;Fasola szparagowa (surowa);31;2.2;3.3;0.2
5876;Ciasto W-Z - Biedronka;307;5;31;18
5877;Baton zbozowy BA! 5 orzechow z polewa kakaowo-mleczna - Bakalland;476;10;56;23
5878;Napoj z czarnej porzeczki (nektar);45;0.2;11;0
5879;Babeczka mocno czekoladowa;342;7.2;37.1;18
5880;Baton BA! 5 ziaren z miodem - Bakalland;582;15;38;40
5881;Dorsz w galarecie;60;9;4.2;0.8
5882;lody galkowe;279;4.9;28.4;16
5883;morele suszone BAKAL (BIEDRONKA);241;3.4;63;0.5
5884;Musli Crunchy - First Price;443;9;67;14
5885;Jogurt naturalny z owocami Day Up;73;2.2;16;1.4
5886;Koktajl porcja - Herbalife;376;35;33;9.6
5887;Hummus classic;207;8;15;10
5888;smietana 18% Milsa - Aldi;189;2.6;3.5;18
5889;Ryz brazowy dlugoziarnisty - Supreme;363;8.6;74;3.1
5890;Jogurt gruszkowy Men High Protein - Bakoma;106;8;15.7;1.2
5891;Rodzynki sultanskie Belbake - Lidl;305;2.5;68.6;0.6
5892;Platki owsiane - Sante;376;12;62;7.2
5893;Orzechy wloskie - BakaD'Or;665;16;12;60
5894;Groszek konserwowy Value - Tesco;75;5.5;8.7;0.8
5895;Ser kozi do smarowania Turek;151;9.1;4;11
5896;Chleb razowy zytni pelnoziarnisty - Merk;239;6.5;44.8;1.8
5897;Sok z czerwonych burakow - Ogrody Natury;45;0.2;9.4;0.2
5898;Makaron na patelnie z sosem smietanowo-ziolowym (Hortex);89;2.8;10.7;3.5
5899;Deser Satino Gold kawowy - Bakoma;142;2.4;18.5;6.5
5900;Czekolada gorzka kokosowa - E. Wedel;532;6;52;32
5901;Sos bolognese z wolowina;104;5;6.5;6
5902;Platki sniadaniowe czekoladowe - Weetabix;391;9.8;71;5.4
5903;Wafelki z kremem kakaowym;519;9;50;31
5904;Ser Halloumi;285;19.5;2.5;22.1
5905;Pierogi ruskie (pyszne danie);168;7;31;2
5906;Powidla sliwkowe - bez cukru - Krokus;99;0.6;24;0.6
5907;activlab muscle up protein;386;70;13;6
5908;power protein 90 z woda;376;85;4;2
5909;Czerwona fasola - puszka na raz - Bonduelle;111;8.3;15.2;1
5910;Sos meksykanski - Biedronka;65;1.8;12;0.5
5911;Popcorn NaMaxa - Biedronka;560;7.5;41;39
5912;Serek homogenizowany truskawkowy Amelia - Pilos;132;5.7;16;5
5913;7 Days Crioissant z nadzieniem o smaku spumante;452;7;42;28
5914;Majonez Pegaz;686;1.2;3.7;74
5915;Salami Debickie - Sokolow;511;21;1;47
5916;Popcorn karmelowy;431;3.8;79.1;12.8
5917;Sok pomidorowy - Melly;16;0.8;2.3;0.5
5918;Gofr z bita smietana i owocami;135;2.1;22.9;4.2
5919;Jogurt owocowy - FruVita;91;2.7;14.5;2.5
5920;Czekolada mleczna z nadzieniem karmelowym i ciasteczkami kakaowymi - E. Wedel;517;4.7;53;32
5921;Jogurt naturalny truskawkowy;84;3.8;10.3;2.9
5922;Lasagne z miesem i serem;200;11.2;13.5;11
5923;jogurt pitny FruVita truskawka;80;2.7;13;2
5924;faworki;511;8.8;49.5;31.6
5925;Salatka warzywna - Biedronka;212;1.9;7.6;19
5926;Bialko Hi Tec 91;376;83;3;3
5927;losos norweski wedzony- Lisner;199;22.2;0;12
5928;Ciastka Grunchy orkiszowe z pelnego ziarna - Ania;403;8.1;67.1;12.3
5929;Sos tatarski - Winiary;609;1;7.9;63.7
5930;Puree ziemniaczane z boczkiem i cebulka Goracy Kubek (po przyrzadzeniu) - Knorr;87;2.6;11;3.4
5931;Mix ziaren prazonych (dynia.slonecznik.pini);589;23;16;47
5932;bialko brazowego ryzu;375;80;10;1
5933;Serek wiejski lekki - lowicz;83;11;3;3
5934;Platki kukurydziane Gold Flakes - Nestle;401;7.1;80.4;4.8
5935;Piwo Lech Ice Mojito;39;0;6;0.1
5936;Carrefour Classic Nalesniki z serem i rodzynkami 400 g;155;8.4;21.1;3.7
5937;Budyn w proszku;369;0.3;90.5;0.1
5938;Ser Mozzarella do pizzy;254;24;3;16
5939;Orzechy nerkowca - TESCO;615;15;33;46
5940;Orzechy ziemne prazone - Carrefour;644;24;21;50
5941;Jajecznica z pieczarkami;67;3.6;3.4;4.2
5942;Makaron spaghetti bezglutenowy (nieugotowany);358;7.5;72;3.7
5943;Grzanki graham;391;12;68;6.8
5944;Surowka koperkowa - Grzeskowiak;80;1;12;3.5
5945;Baton proteinowy Go ON! kakaowy z inulina;415;25;44;14
5946;Mleko semi skimed 1.5% lactose free - Lidl;48;3;5;1
5947;Ser brie - Bluedino;288;18;0;24
5948;Baton Corny Big orzechowy;424;8;61.4;16.2
5949;pasta z makreli i awokado;160;11;6;11
5950;Udka kaczki pieczone;170;10.9;6.8;11
5951;Jogurt Jogobella z owocami kiwi - Zott;97;3.5;15;2.5
5952;Chleb Danuty - Putka;224;6;44;3
5953;Chleb blonnikowy - Putka;206;5;40;3.5
5954;Kurczak z pieca w sosie toskanskim;132;11.2;5.9;6.9
5955;Zupa blyskawiczna krewetkowa tajska;71;1.3;9.1;3.3
5956;Platki Chocapic choco-orzechowe - Nestle;417;8.1;72.3;9.5
5957;Ser plesniowy - Bavaria Blu;454;13.5;0;44.2
5958;Wafelek Grzeski mini;533;10.3;53.3;30.1
5959;Wafelek Princessa orzechowa;538;6.1;57.5;31.4
5960;Wafelki Neapolitaner;507;6;60;26
5961;Olej rzepakowy mazowiecki - Mosso;828;0;0;92
5962;swiezy sok z jablek i owocow granatu;52;0.3;12;0.3
5963;Paprykarz z kasza jaglana - Primavika;180;4.1;14;13
5964;Jogurt pieczone jablko - FruVita;110;2.6;19;2.5
5965;Qurrito Menu - KFC;282;15;26;14
5966;Wieprzowina (golonka ze skora);294;18.7;0.2;24.7
5967;Chipsy ziemniaczane o smaku serowym;496;8.5;57.7;27.2
5968;Pieczen cieleca;124;16.1;1;5.8
5969;Petitki Lubisie czekoladowe;395;5.9;58.5;15
5970;Dzem z owocow lesnych niskoslodzony;141;0.3;34;0.1
5971;Kasza jaglana z owocami;98;2.1;21.1;0.7
5972;Chleb wloski;271;8;50;3.5
5973;Jogurt naturalny Jogobella Light - Zott;60;4;8.4;1.1
5974;Makaron orkiszowy (nieugotowany);320;11.6;62.4;2.7
5975;Chleb turecki;317;7.4;66;2.3
5976;Ciasto Toffi;280;5;30;15
5977;Nuggetsy;295;15;14;20
5978;Sos Curry - lowicz;57;1.2;9.9;1.1
5979;Serek swiezy Figura Naturalny - Turek;88;7.3;3.5;5
5980;Jogurt naturalny - Maluta;58;4;4.8;2.5
5981;Jogurt bez cukru o smaku suszonej sliwki - FruVita;82;8;12;0
5982;Tunczyk wedzony - California Garden;130;25.9;0.6;2.9
5983;Margaryna Roslinna - Bielmar;722;0;1;80
5984;Serek homogenizowany waniliowy - Mlekpol Grajewo;142;7;16;5.5
5985;Bulka wysokobialkowa - Biedronka;283;16.7;42.5;7.3
5986;Zupa Pani Marchew & Imbir - Pan Pomidor & Co;32;0.5;3.2;1.4
5987;Deser mleczno-ryzowy waniliowy Riso - Muller;103;3.3;16.8;2.5
5988;Jogurt DayUp niebieski - bananowy;73;2.2;16;1.4
5989;Kielbaska sojowa wedzona;183;17;8;9
5990;Tost pszenny - Big Bite!;248;8.5;47.8;2
5991;Szynka prosciutto. surowa. dojrzewajaca. suszona powietrzem;225;26;1;13
5992;Hamburger McRoyal - McDonald's;255;15;18;13
5993;Zupa z pierozkami Won-Ton;32;2.1;5.3;0.3
5994;Sos balsamico maly - Salad Story;38;0;7.2;0.2
5995;Zupa kurkowa;40;0.7;3.3;2.8
5996;Jogurt naturalny - Carrefour;58;4.1;6;2
5997;Ser weganski;285;0;20;23
5998;Zrazy z lososia ze szpinakiem;309;10;8;27
5999;Szynka duszona z warzywami;100;5.8;2.7;7.3
6000;Napoj energetyczny - Monster;47;0;12;0
6001;Szynka wieprzowa surowa suszona - Fresca Feta;225;27.5;0.5;12.5
6002;pasta z jaj i tunczyka;293;19.4;0.8;23.6
6003;Napoj kokosowy - Alpro;20;0.1;2.7;0.9
6004;Koktajl bananowy z platkami owsianymi;101;4.5;18.2;1.1
6005;Placuszki bananowe z otrebami;122;5;17.5;3.1
6006;Ryz podsmazany na masle z curry (100 g ryzu. 2.5 g masla);147;3;27;3
6007;Sok wyciskany w domu;45;0.7;10.4;0.2
6008;Zupa czosnkowa;47;2;8.5;0.5
6009;Orzeszki ziemne prazone w ciescie Wasabi;538;14;42;34
6010;Ketchup markowy lagodny - Roleski;112;1.5;26;0
6011;Salatka brokulowa z jajkiem i szynka;81;5.6;8;3
6012;Piers z kurczaka z z serem i pieczarkami;287;16.3;3.9;23.3
6013;Jogurt naturalny kubek 400g - Tola;58;4.4;5.7;2
6014;Zupa grzybowa (mrozonka) - Hortex;47;2;8;0
6015;Bulka z dynia - Kaufland;326;11.7;46.4;10.2
6016;Praliny Mleczne od LINDOR (czerwone) - Lindt;623;4.9;44;47
6017;Lody Rozek bakaliowy Lody Jak Dawniej - Koral;267;4;28;15.5
6018;Podgrzybek (marynowany);56;3;8;0.5
6019;Hahnchenbrustfilet gebacken. hauchfein;105;21;0.6;2
6020;Czekoladka Tiki Taki;559;7.9;46;37
6021;Salatka z serem mozzarella i pomidorami koktajlowymi - Biedronka;160;5.9;5.3;12
6022;Czekolada Toffee Wholenut - Milka;560;5.9;52;36.5
6023;Brownie Dr Oetker;457;6.5;54;25
6024;Salami wegierskie - Sokolow;473;23;3;41
6025;Sos jogurtowy koperkowo-ziolowy - Mlekovita;125;4;7;9
6026;Cukier kokosowy - Intenson;377;0;93;0.4
6027;Wieprzowina chuda;115;22;0;3
6028;Serek topiony z papryka - Lactima;227;9;2.7;20
6029;Sos pieczarkowy - Winiary;35;0.8;5.2;1.1
6030;Wafle jaglane + chia - Sonko;396;12.4;70;6.1
6031;Wodka Debowa 60 gr;231;0;0;0
6032;Jogurt Activia gruszka pelne ziarno - Danone;103;3;16.2;2.5
6033;Jogurt naturalny - Wloszczowa;58;5;5;2
6034;Czekolada gorzka wisniowa - E. Wedel;484;4.7;56;26
6035;Brokuly w bulce tartej;130;3.2;9.6;8.8
6036;Pierogi z owocami;146;2.5;30.3;1.4
6037;Pastella z makreli (Lisner);485;5.3;7.6;48.1
6038;Ser kozi (pozostale);266;14;12;18
6039;Czekolada gorzka bez cukru;497;8;34;39
6040;Tunczyk w sosie wlasnym - Nixe;129;31;0;1
6041;Chleb ciemny u cioci;222;6.5;45;1
6042;Warzywa na patelnie zielone z przyprawami - Frosta;36;2.6;4.3;0.3
6043;Musli 5 bakalii Ba! - Bakalland;384;3.5;76;6.9
6044;Pomidory smazone;93;1;10;6
6045;Rosol wolowy z kostki - Winiary;6;0.1;0.3;0.5
6046;Serek wiejski lekki - Mlekovita;81;11;2.4;3
6047;Ciasto serowe z truskawkami;270;4.1;35.3;12.8
6048;Lisner O Mamo! Salatka warzywna z jajkiem 150 g;231;2.3;8.9;20
6049;Kamyczki;503;13;51.1;27.4
6050;Chleb regionalny pszenno-zytni;247;8.3;49;1.3
6051;Dzem zurawina z jagoda - Owocowa Rapsodia;208;1;52;0.1
6052;Lasagne z sosem beszamelowym;114;8;7;6
6053;Platki sniadaniowe Fitness o niskiej zawartosci tluszczu - Nestle;368;8.4;77.6;1.3
6054;Platki ActiVita truskawki. jablka i rodzynki - Lubella;358;10.4;68.5;2.1
6055;Fasola szparagowa;37;2.4;7.6;0.2
6056;Ser Camembert Figura z pieprzem - Turek;294;18;0.4;24.5
6057;Makaron Tortellini z szynka (ugotowany);153;4.3;26;3.5
6058;Wafelek Grzeski w mlecznej czekoladzie;513;10;55;30
6059;Osmiornica swieza;82;15;2.2;1
6060;Twarog Delikatny czosnek - President;91;8.8;4.8;4
6061;Jogurt typu greckiego z wisniami - Tolonis;122;3.1;14;6
6062;Platki Musli - Lidl;359;10.8;54.4;9.6
6063;Tost pelnoziarnisty - Schulstad;262;7.2;54;3.1
6064;Makaron na patelnie z sosem Napoletana (Hortex);90;3;15.9;1.2
6065;Herbata Blueberry Muffin - Lipton;4;0.5;0.5;0
6066;Pizza Grill - Telepizza;216;9;29;7
6067;Napoj SMART - Active;42;0.1;9.9;0.1
6068;Odzywka bialkowa Pure Whey Isolate 95 (Kakao) - Olimp;105;25.8;0.3;0.1
6069;Platki owsiane-gorskie - Symbio;362;11;57;7.4
6070;Shake Waniliowy - McDonald's;239;6.7;27;11
6071;Ciasto ze smietana;346;5;40;18
6072;Baton proteinowy czekoladowy;388;31;39;13
6073;Dzem czeresniowy;156;0.4;38;0.1
6074;ciastko z kremem;537;7.1;57;32
6075;zupa jarzynowa czysta z klopsikami z lopatki wieprzowej;36;2.4;2.4;1.9
6076;Platki pelnoziarniste pszenne wzbogacone ryzem - Obst;370;12.8;68.9;2.3
6077;Ser twarogowy Emilki - Mlekoma;68;12.2;3.9;0.3
6078;Jogurt Twist truskawkowy - Bakoma;79;2.9;12.8;1.8
6079;Serek wiejski light - Pilos;80;11;2.3;3
6080;Surowka z czarnej rzepy. jablka. marchwi i jogurtu;37;0.9;8.4;0.1
6081;Paprykarz szczecinski z dorszem - Graal;138;6.5;6.5;9.2
6082;Hamburger - Biedronka;214;15;6.6;14.2
6083;Makrela konserwa - Tesco;266;19.7;0;20.8
6084;Maka migdalowa;364;33;13;20
6085;izolat bialkowy Ultra Whey;349;80;4;1
6086;Smoothie owocowy (truskawki. brzoskwinie. ananas. woda mineralna);50;0.6;10.9;0.4
6087;Tunczyk rozdrobniony w oleju roslinnym - Carrefour;308;14;0;28
6088;Kefir naturalny 1.5% - Jana;46;3.3;4.7;1.5
6089;Bulka wysoko proteinowa;268;26.7;8.5;13.4
6090;Serek kanapkowy garlic&herbs - Philadelphia;154;10.6;3.1;11
6091;Surowka z buraka czerwonego - ZPH Witamina;48;1.3;10;0.5
6092;Pasta z tunczyka Oli (cebula.szzypiorek ogorek konserwowy jaja majonez);145;11.3;2.5;10
6093;Pasta rybna z makreli z warzywami;145;11.3;2.5;10
6094;Zupa krem pomidorowa - Biedronka;26;0.9;4;0.4
6095;Zupa krem z soczewicy z chili;66;4;10;1
6096;Pierniczki lukrowane - Tastino;356;6.1;78.1;1.5
6097;Pasta z pestek dyni z brokulami - WellWell;292;9.6;1.5;26.9
6098;Czekolada Collage - Milka;555;5.7;53;34.5
6099;Platki kukurydziane corn flakes choco bezglutenowe - Nestle;394;6;81.6;3.9
6100;Szprot w sosie pomidorowym (konserwa) - Amerigo;109;12;5.6;4.3
6101;Czekoladki Michalki biale;542;10;50;33
6102;Pieczywo chrupkie z sezamem - Burger;389;11;74;5
6103;Sos slodko-kwasny - lowicz;74;1.1;16;0.3
6104;Jogurt naturalny nadbuzanski 9% naturalny - Bieluch;110;3.2;4;9
6105;Nalesniki z miesem;230;15;10;15.5
6106;Kefir naturalny 0% - Grodzisk;28;3.4;3.5;0
6107;zupa krem jarzynowa HORTEX;43;2.1;6.6;0.5
6108;pierogi z serem i jagodami;190;7.3;34;2.6
6109;Koreczki sledziowe po gizycku Marinero - Biedronka;302;10.2;3.1;27.6
6110;Sos do spaghetti - cebula. pomidory. pieczarki. ser salami;61;3.9;3.5;3.6
6111;Grzyby suszone;347;29;48;3.8
6112;Metka cebulowa;240;14.9;0.1;20
6113;Pulpety;223;18.8;13.3;11.1
6114;Makaron Nitki ciete nr 2 Filini (nieugotowany) - Lubellla;351;13;70;1.4
6115;Baton Milka & Oreo;550;5.6;56;33
6116;Kwas chlebowy razowy - Van Pur;35;0.5;8.3;0
6117;Ryz czerwony (ugotowany);107;2.4;25.6;0.6
6118;Tunczyk w wodzie - California Garden;100;23.9;0.7;0.5
6119;Czekoladki After Eight - Nestle;424;2;73.6;12.9
6120;Kukurydza w zalewie - Freshona;80;3;10.8;1.9
6121;Ser zolty szwajcarski pasteryzowany;334;24.7;2.1;25
6122;Hamburger podwojny;268;14.8;18;15.1
6123;Quesadilla z kurczakiem;294;15.1;24;15.3
6124;Ciasto na pizze;266;11;33;10
